PDBID,pK
4fbx,7.66
4fak,4.28
4fcf,8.62
4fcb,8.54
4fcq,7.0
4fcd,9.55
4fcm,3.94
4fc0,7.16
4fcr,9.4
4fe6,10.0
4fem,4.06
4f8h,4.24
4feq,5.96
4fe9,3.0
4fea,6.47
4fci,1.26
4fev,5.42
4fck,1.26
4ff8,6.4
4few,5.21
4fgy,6.3
4fhh,7.46
4fgz,2.87
4fhi,7.0
4fgx,7.14
4ffs,10.44
4fht,6.17
4fic,4.7
4fgt,5.41
4fil,7.47
4fiv,6.52
4fk7,5.24
4fk6,9.7
4fl1,3.28
4fi9,7.34
4fli,5.44
4flk,5.25
4fl2,3.66
4fjz,6.29
4fkk,9.3
4fl3,3.82
4flj,5.13
4fll,5.29
4flp,6.72
4fmn,6.1
4fmq,5.05
4fmo,5.53
4fm8,5.97
4fm7,7.24
4fmu,6.44
4fnn,7.57
4flh,9.0
4fny,7.8
4fnz,7.8
4fob,8.3
4fqo,5.16
4foc,8.52
4fn5,6.76
4fod,8.92
4frk,8.1
4fri,5.55
4fr3,7.15
4fpk,4.24
4frj,6.55
4fpf,4.41
4frs,8.77
4fse,7.4
4fsl,7.7
4fs3,7.85
4fvq,6.0
4fs4,6.57
4fut,6.51
4fvr,6.0
4fxp,4.09
4fxq,5.77
4ft2,5.64
4fns,6.7
4fyh,4.85
4fp1,4.57
4fz3,3.73
4fyo,7.33
4fxz,7.03
4fz6,6.9
4fxf,5.19
4fxy,7.54
4fxj,3.62
4g0c,7.92
4fzj,3.15
4fys,4.82
4g0p,3.01
4g0q,2.52
4g0y,2.3
4fzc,8.4
4g0z,2.21
4g17,7.54
4g0k,5.37
4fzg,7.72
4g16,6.85
4g0l,5.19
4g2f,6.8
4g11,5.0
4g2l,7.49
4g2j,7.96
4g19,3.58
4g2w,8.8
4g34,7.93
4g2y,6.0
4g31,9.4
4g1f,7.77
4g4p,6.89
4g3e,8.38
4g3g,8.43
4g3f,8.36
4g69,5.98
4g5f,3.05
4g8m,7.89
4g8l,8.0
4g55,4.92
4g2r,4.45
4g8v,5.8
4g8y,4.59
4g5y,2.77
4g8n,7.2
4g90,4.51
4g95,7.61
4g8r,7.66
4gao,5.74
4g9c,8.64
4g68,7.92
4gby,3.46
4g93,3.52
4gah,6.1
4gbz,3.11
4gd6,7.38
4ge1,6.43
4gcj,7.7
4ga3,7.52
4gb9,6.27
4gbd,11.32
4ge2,6.05
4gee,9.0
4ge5,6.57
4ge6,7.47
4gdy,7.08
4ge4,8.11
4gfn,8.3
4gfm,7.22
4gg5,9.03
4gfo,6.62
4gfd,9.48
4gg7,8.2
4ggz,10.18
4ge7,8.15
4ge9,8.8
4ght,5.78
4ggl,9.0
4ghi,7.09
4gih,8.32
4gii,8.74
4gh6,7.68
4gid,10.77
4gj2,8.6
4gj7,6.77
4giu,5.33
4gj9,3.3
4gj3,8.85
4gj8,3.3
4gjb,4.0
4gja,5.92
4gk2,8.8
4gjd,8.52
4gkc,6.82
4gjc,7.05
4gkh,4.67
4gk3,7.25
4gki,4.46
4gk4,7.85
4gkm,5.17
4glw,6.1
4glr,9.46
4gm3,9.0
4gly,5.11
4glx,7.8
4gm8,9.0
4gne,2.47
4gnf,3.35
4gk7,7.9
4gng,3.54
4gny,4.22
4gmy,7.55
4gmc,7.74
4gj6,5.12
4gpl,5.89
4gqp,9.6
4gq6,7.28
4gql,9.59
4gr3,7.81
4gr0,9.55
4gqq,2.89
4gq4,7.66
4gr8,7.83
4gs6,7.15
4gs9,5.66
4gqr,3.96
4gsy,6.92
4gpk,7.52
4gs8,7.0
4gsc,5.85
4gtm,8.04
4gtp,7.94
4gtq,8.3
4gts,7.89
4gtr,8.3
4gu9,4.37
4gtt,8.22
4gtv,7.42
4gue,5.24
4gui,3.64
4gvc,4.71
4guj,3.05
4gvd,4.57
4gu6,7.36
4gvu,7.52
4gv8,6.49
4gv1,8.52
4gvm,6.11
4gwi,3.69
4gw8,6.06
4gw6,6.2
4gw1,6.37
4gxl,5.28
4gwk,3.34
4gy5,6.82
4gw5,5.46
4gye,6.85
4gzf,8.36
4h1j,5.92
4gto,7.98
4gxs,4.0
4h1e,8.52
4h1m,7.11
4gz3,5.74
4h2j,5.32
4h2m,5.21
4gzt,7.77
4h2o,5.52
4gzw,4.52
4h36,4.27
4gzx,3.19
4gzp,7.84
4h39,6.68
4h3a,6.29
4h38,6.04
4h3c,5.72
4h3b,5.17
4h42,3.47
4h3q,5.1
4h3i,8.52
4h3f,9.0
4h3g,8.22
4h58,6.72
4h3j,7.05
4h4d,6.82
4h4e,6.68
4h71,4.45
4h75,6.6
4h5c,7.55
4h5e,6.07
4h5d,7.55
4h7q,5.06
4hbm,7.92
4hbv,4.64
4h4m,8.52
4h81,5.12
4ha5,7.24
4hbw,5.32
4hbx,5.72
4hco,4.32
4hby,5.36
4h4b,2.7
4hct,7.14
4hcv,6.4
4hcz,4.44
4hbn,6.1
4hcu,8.0
4hdf,8.49
4hai,8.1
4hdp,7.51
4hdc,8.92
4he9,8.46
4hdb,8.05
4hfz,5.72
4hg7,7.05
4hbp,8.42
4heg,8.92
4hev,6.34
4hej,4.62
4hfp,7.38
4hgc,10.0
4hge,7.92
4hgl,8.1
4hgs,8.3
4hhy,8.72
4hgt,7.4
4heu,10.01
4hki,6.85
4hhz,7.72
4hkk,5.54
4hiq,8.21
4his,8.09
4hkn,5.96
4hf4,8.62
4hl5,6.35
4hlf,6.06
4hla,10.8
4hj2,2.53
4hlg,6.51
4hlm,6.77
4hlh,5.96
4hkp,4.55
4hlk,5.96
4hlc,6.76
4hmh,6.21
4hlw,5.38
4hld,9.3
4hn2,6.89
4hmq,8.24
4hmk,6.1
4hp0,6.12
4hni,7.49
4hpi,4.85
4hnc,3.17
4hnn,5.7
4hod,6.1
4hra,10.1
4hpy,9.92
4hs6,7.52
4hrc,8.92
4hs8,7.92
4hnp,6.78
4hrd,8.82
4ht6,6.21
4ht0,8.0
4g8o,7.66
4htp,5.62
4huo,4.7
4ht2,6.54
4hu1,7.54
4hup,4.82
4hv3,3.94
4hv7,3.52
4htx,8.33
4hvd,8.85
4hso,4.66
4hva,5.89
4hvg,7.77
4hvh,7.72
4hvi,7.16
4hw2,7.26
4hvs,7.8
4hw3,6.49
4hvb,9.95
4g0a,7.6
4hw7,7.21
4hwb,9.24
4hxj,4.13
4hwo,8.54
4hwp,7.76
4hxl,5.66
4hxm,6.1
4hwr,6.74
4hww,6.65
4hxr,5.39
4hxs,5.39
4hws,9.1
4hxw,8.7
4hy4,8.57
4hy0,6.7
4hy5,8.89
4hy9,7.1
4hyb,6.46
4hxz,6.05
4hy1,8.7
4hyf,7.6
4hyh,9.0
4hxq,7.22
4hyi,8.52
4hys,7.26
4hz5,5.92
4hym,8.22
4hzm,4.63
4hyu,8.21
4i0r,7.85
4hzt,6.12
4i0d,6.21
4hwt,4.3
4hze,6.29
4i0f,6.35
4i0s,7.44
4i0t,7.59
4hzx,9.3
4i06,7.17
4i0z,6.33
4i10,6.77
4i11,4.57
4hzw,8.88
4i31,9.32
4i12,6.39
4hzz,8.08
4i32,7.24
4i1c,8.1
4i47,6.92
4i33,8.33
4i1r,4.65
4i2w,3.92
4i4e,6.3
4i4f,6.19
4i3z,4.29
4i5c,8.82
4i54,6.96
4i5m,8.06
4i2z,4.87
4i67,6.35
4i5h,8.7
4i5p,6.42
4i6b,5.93
4i6f,8.3
4i6q,7.52
4i6h,8.3
4i60,5.73
4i7b,5.7
4i7c,8.22
4i7j,3.32
4i71,7.74
4i7k,3.04
4i72,9.05
4i7d,7.0
4i7m,4.14
4i7l,3.99
4i7p,3.5
4i73,6.72
4i8w,10.9
4i8z,11.05
4i9i,8.1
4i8n,4.46
4i9r,6.95
4i74,6.72
4i9o,5.72
4i9s,6.79
4i80,7.62
4i9c,5.51
4i7f,7.0
4ia0,7.11
4iax,9.56
4iaw,9.63
4i9z,7.74
4ibb,3.57
4ibc,2.98
4i8x,2.64
4ibd,3.67
4ib5,6.25
4ibe,4.15
4ibf,4.43
4ibi,4.14
4ibk,4.3
4ibj,4.33
4ibg,3.97
4ibm,5.74
4idv,7.4
4idz,4.36
4ie0,5.08
4i9u,3.86
4i9h,7.17
4idn,5.24
4idt,7.0
4ie4,5.48
4ie7,5.05
4ido,4.93
4ie5,4.82
4ifi,5.48
4ie2,5.35
4ieh,7.85
4ie6,5.55
4ie3,6.01
4igq,4.52
4igk,4.55
4h85,5.15
4igr,7.2
4igt,7.89
4ih5,4.11
4ih3,4.82
4ifh,5.21
4ih7,5.24
4ih6,4.74
4ijl,3.87
4iho,5.1
4ijh,4.33
4ii9,6.03
4ikn,4.85
4ij1,5.4
4ijp,7.8
4ikr,6.23
4iks,5.14
4ikt,6.17
4ijq,7.52
4iid,5.62
4iku,5.75
4imq,5.82
4iie,2.34
4in9,4.97
4imz,6.92
4inh,6.25
4iif,5.18
4inb,6.05
4io2,6.7
4io3,6.06
4io4,4.61
4im0,7.72
4io5,5.03
4io7,3.68
4hnf,6.15
4ipf,7.74
4io8,6.64
4io6,4.82
4ipj,4.87
4ipi,5.32
4iq6,7.24
4int,5.8
4ir5,6.21
4ir6,6.08
4inr,5.59
4iqt,6.11
4irx,6.12
4inu,9.26
4iqu,6.24
4ish,8.72
4is6,6.2
4ith,6.5
4isi,8.14
4isu,3.68
4iti,6.36
4iue,6.55
4iur,5.58
4itp,7.27
4ipn,3.39
4itj,6.42
4iut,5.72
4iuv,5.72
4iuu,5.65
4iuo,3.64
4ivb,8.72
4iva,7.16
4iu0,5.89
4ivc,10.0
4iu1,4.3
4ivd,9.52
4ivk,3.85
4iu4,5.0
4iwz,7.29
4ivs,7.36
4iwd,9.0
4ivt,6.0
4ixu,7.64
4izy,8.52
4iz0,4.0
4j04,4.96
4j08,6.66
4ixv,6.62
4ixh,8.21
4j0r,6.41
4j03,7.59
4j0p,7.29
4j0s,6.42
4j06,5.34
4j0a,6.8
4izm,6.66
4j09,4.77
4j0t,6.74
4j0v,7.55
4j0y,6.36
4j17,7.27
4j0z,7.11
4j1c,7.31
4j1e,7.72
4j1f,7.92
4j1p,7.05
4j1h,6.11
4j24,7.3
4j21,7.41
4j1k,7.89
4j1i,7.4
4j22,7.74
4j26,5.44
4j3e,7.06
4j3i,5.74
4j2c,5.25
4j3d,8.28
4j44,5.73
4j45,5.77
4j28,5.7
4j46,5.28
4j3l,7.8
4j3m,7.68
4j48,5.62
4j47,4.92
4j4n,6.88
4j2t,7.96
4j4o,6.9
4j58,3.3
4j51,6.59
4j59,5.85
4j52,8.52
4j5b,6.22
4j5e,4.94
4j53,8.7
4j3u,6.34
4j5c,5.52
4j74,4.59
4j5d,5.96
4j73,4.56
4j77,5.47
4j7d,4.7
4j78,4.65
4j3j,7.51
4j7e,4.85
4j5p,7.92
4j70,5.24
4j79,3.1
4j6i,8.85
4j4v,6.36
4j7i,5.06
4j81,4.5
4j82,4.35
4j84,4.69
4j86,3.77
4j8b,4.79
4j8t,6.77
4j93,4.7
4j9a,8.22
4j8s,5.7
4j8g,4.19
4j8m,7.32
4j8r,7.7
4jai,8.4
4jaj,5.26
4jbo,7.62
4jc1,4.3
4jck,2.37
4jbp,7.39
4jal,4.6
4jaz,5.04
4jda,6.29
4jdf,2.19
4je8,5.21
4jfi,4.74
4je7,6.4
4jfk,6.44
4jfj,5.68
4jbl,3.27
4jfl,4.98
4jfm,5.48
4jfd,4.44
4jbs,7.96
4jff,9.22
4jfe,4.51
4jft,5.46
4jfv,6.28
4jfw,6.34
4jg6,6.44
4jfx,6.44
4jfz,7.15
4jg0,6.76
4jg8,8.6
4jg1,6.63
4jg7,6.92
4jht,4.99
4jgv,6.57
4jin,5.64
4jia,9.22
4jik,7.74
4jiz,5.62
4jhq,7.74
4jje,7.64
4jj8,6.14
4jj7,6.4
4jit,6.64
4jjm,7.57
4jhz,6.02
4jjq,5.03
4jfs,5.27
4jjs,6.7
4jjf,8.0
4jib,7.35
4jju,6.29
4jjg,8.7
4jkw,4.16
4jk5,7.55
4jk6,7.19
4jlg,8.7
4jh0,9.03
4jlh,5.4
4jmu,5.47
4jmg,8.82
4jlj,6.13
4jlm,7.64
4jmh,8.68
4jmx,7.21
4jln,7.78
4jn2,11.68
4jnj,9.07
4jls,5.66
4jnc,8.52
4joa,7.54
4joe,3.56
4jof,4.17
4jog,3.72
4joh,3.35
4jkt,7.09
4joj,3.96
4jok,4.07
4iic,4.85
4joo,4.43
4jp9,7.62
4jnm,8.52
4jpa,8.48
4jn4,5.86
4jpy,4.43
4jpc,7.03
4jpx,5.15
4jpe,7.32
4jne,5.86
4jrg,6.71
4jql,6.0
4jsc,7.13
4jq7,6.41
4jq8,8.1
4jr0,8.2
4jr3,6.66
4jsa,4.96
4jss,3.3
4jsr,8.4
4jsz,2.3
4jrv,7.54
4jt8,7.48
4jv6,6.66
4jv7,6.0
4jt9,8.14
4jv8,5.85
4jr5,8.15
4jv9,5.74
4ju6,6.17
4jvb,7.41
4ju3,7.07
4jve,7.07
4jwr,6.21
4ju7,6.17
4jwk,8.32
4jx9,8.62
4ju4,6.47
4jvi,5.3
4jx7,6.91
4jvq,6.2
4jxs,4.74
4jym,5.04
4jxv,4.51
4jxw,4.72
4jvj,7.66
4jyt,7.4
4jyu,8.0
4jyv,7.77
4jyb,6.96
4jzd,8.3
4jz1,6.7
4jyc,6.7
4jzi,7.4
4jze,8.15
4jzr,7.8
4k0o,3.0
4k0u,7.26
4jzf,6.76
4k19,8.36
4k0y,7.82
4k1e,8.44
4k18,8.96
4k1b,11.52
4k3h,6.85
4jzb,6.47
4k2y,3.33
4k2f,7.4
4k2g,7.7
4k3k,2.35
4k3l,2.96
4k10,6.92
4k3m,3.55
4k4e,7.62
4k43,6.88
4k42,6.55
4k3o,4.44
4k3p,5.8
4k4f,6.7
4k55,5.51
4k4j,6.12
4k3q,3.94
4k3r,3.59
4k5l,4.96
4k5m,3.71
4k5o,3.98
4k5z,3.0
4k60,3.24
4k5n,3.9
4k63,4.22
4k64,3.0
4k66,3.26
4k6i,6.2
4k67,3.43
4k69,7.4
4k5p,3.46
4k6y,4.83
4k5y,8.17
4k6t,4.1
4k72,3.0
4k6z,8.7
4k6u,4.14
4k75,4.25
4k76,5.35
4k6v,4.63
4k78,4.79
4k7i,2.82
4k7o,4.3
4k7n,3.48
4k77,6.63
4k9y,6.95
4k6w,5.35
4k8s,7.44
4k8a,4.02
4k3n,7.96
4kab,4.03
4k8o,3.77
4kao,6.11
4k9h,7.12
4k9g,5.82
4kb8,7.89
4kax,4.77
4kb9,11.0
4kba,8.22
4kbc,7.85
4kai,7.3
4kbk,8.18
4kcx,4.43
4kby,6.73
4kb7,7.49
4kc1,2.91
4kbi,7.49
4kcg,8.3
4ke0,7.77
4ke1,8.6
4kii,6.23
4kc4,3.23
4kfq,8.23
4keq,3.82
4kil,6.3
4kif,4.84
4kio,6.3
4kju,8.22
4kin,8.32
4kiq,7.64
4kjv,7.74
4kip,8.15
4klv,3.78
4klb,4.16
4km0,6.04
4km2,5.84
4kfp,8.0
4kmz,8.57
4kmd,5.41
4kn0,7.4
4kn1,6.84
4kne,5.9
4kn2,7.27
4kij,4.3
4knb,7.33
4knj,7.95
4kni,7.78
4kiu,3.85
4knm,8.0
4knn,7.78
4knr,5.74
4knx,5.49
4kmu,7.92
4kn4,7.24
4kn7,7.62
4kot,5.46
4kln,7.7
4kox,4.77
4kov,3.75
4kow,4.31
4kp0,8.65
4kp6,9.09
4kp4,5.17
4kom,7.0
4kod,5.36
4kqp,6.05
4kon,6.48
4kp8,5.48
4kp5,6.08
4kqo,6.78
4kqq,3.9
4krs,6.52
4kqr,3.9
4ko8,7.15
4kpz,2.71
4kpx,7.3
4kql,8.77
4ks3,6.37
4ks4,7.14
4ks2,9.34
4ks1,8.82
4ks5,6.89
4ktc,9.0
4jps,8.3
4ktu,6.16
4ksy,8.42
4kup,5.22
4ksp,8.8
4ksq,7.31
4kv9,3.84
4kva,3.94
4kwp,7.49
4kwo,6.45
4kx8,7.13
4kxl,6.22
4kvm,5.05
4kww,5.55
4kxn,6.1
4kxm,5.59
4kwf,4.82
4kyh,5.92
4kxb,4.12
4kyk,4.74
4kz3,2.77
4kz4,4.15
4kz7,2.49
4kz6,3.1
4kz5,2.0
4kz8,2.8
4kzl,6.15
4kwg,6.0
4kz0,5.38
4kzq,6.1
4kzu,6.5
4kza,3.7
4kzb,2.89
4l09,6.07
4l0i,6.57
4l0b,7.17
4l0s,6.84
4l10,7.15
4l0t,7.18
4l02,7.7
4l0v,6.63
4l19,6.1
4l1a,8.27
4l2f,6.23
4l1u,5.26
4l2k,6.44
4l2g,6.68
4kzc,8.09
4l31,6.79
4l0l,7.27
4l32,6.84
4l33,8.15
4l34,6.94
4l2l,5.7
4l3p,5.92
4l3o,6.0
4l50,6.06
4l2x,7.41
4l23,7.75
4l4z,5.68
4l51,3.0
4l4v,5.78
4l58,4.68
4l53,7.55
4l52,8.4
4l6s,8.52
4l4m,8.0
4l70,5.66
4l4l,8.3
4l6t,7.49
4l6q,6.27
4l7b,5.64
4l7f,6.8
4l7g,4.0
4l7c,5.13
4l5j,3.0
4l7h,3.7
4l7d,6.12
4l7l,6.0
4l7j,3.7
4lar,4.68
4l7n,4.84
4l7u,5.66
4l7r,5.02
4lbl,4.96
4lbo,5.77
4l8m,9.0
4lbp,4.94
4la7,6.57
4kc2,3.31
4led,2.3
4lc7,4.93
4lch,10.62
4lg6,6.74
4len,7.4
4lge,8.46
4lgu,8.68
4lgg,8.52
4lgh,8.7
4lbu,6.56
4lh5,6.7
4l9i,4.89
4lhv,10.0
4lh6,4.11
4leq,6.54
4lh7,4.47
4lh2,1.24
4lh3,1.52
4li0,6.59
4li5,6.26
4li7,6.11
4li6,6.97
4lil,4.9
4li8,8.12
4lhm,3.39
4lj5,6.29
4lj8,5.82
4lj3,9.0
4lk6,5.2
4ljh,4.71
4lk7,5.04
4lkd,5.35
4lkf,5.37
4kiw,5.12
4lkl,6.09
4lke,5.37
4lkm,6.34
4lkt,5.9
4lkq,3.35
4llj,3.42
4ll3,11.57
4llp,4.8
4llk,3.0
4llx,2.89
4lkh,3.0
4lm0,3.25
4lkj,6.7
4lm2,3.03
4lm1,3.23
4lm3,2.92
4lkk,5.92
4lm4,3.04
4ln2,3.61
4lnp,3.67
4lmu,7.26
4lm5,6.82
4ln7,7.39
4lmn,10.3
4lko,8.22
4lnw,7.04
4loh,6.96
4loi,6.77
4loj,6.52
4lnb,6.56
4lng,5.62
4loo,8.15
4lov,7.77
4lop,8.15
4lnf,2.62
4lp0,8.0
4loq,8.15
4lp6,8.27
4lp9,6.21
4loy,8.09
4lps,5.74
4lpb,8.0
4lq9,4.85
4lqy,3.89
4lq3,6.35
4lrh,9.72
4lph,5.04
4lpg,4.25
4lrr,5.22
4luo,3.24
4luv,2.85
4lsj,9.57
4luz,4.7
4lv3,5.49
4lno,2.62
4lv1,7.4
4lte,7.22
4lw1,3.15
4lvt,10.36
4lv2,8.0
4lwc,6.72
4lwe,7.15
4lwt,5.41
4lwi,7.64
4lwh,7.57
4lwu,8.3
4lwv,8.22
4lts,8.36
4lxd,7.23
4lqg,8.89
4lxa,8.7
4lxb,8.15
4lv4,5.0
4lxk,8.4
4lxm,7.06
4kw6,3.43
4lxz,6.74
4lys,4.34
4ly1,7.26
4lyw,6.63
4lzr,4.7
4lww,7.54
4lyn,7.22
4lzs,4.8
4m0y,6.46
4m0z,5.19
4m12,6.05
4ly9,8.15
4m13,6.7
4m0r,5.21
4m14,6.7
4m0f,8.77
4m2r,8.49
4m2u,8.04
4m0e,6.22
4m2w,7.28
4m1j,9.7
4m2v,7.44
4m1d,7.64
4m3b,6.4
4m3q,7.77
4m3f,5.31
4m3d,5.41
4m3e,6.25
4m5g,5.01
4m4q,7.96
4m3g,6.26
4m5h,4.54
4m5j,4.84
4m5i,5.17
4m5k,5.23
4m48,6.81
4m5m,4.74
4m5l,4.72
4m5n,5.12
4m5o,6.42
4m5r,3.0
4m7b,6.7
4m5u,7.96
4m7j,6.11
4m7c,6.12
4m3m,9.05
4m84,7.31
4m7x,4.8
4m8e,7.89
4m8h,7.6
4m3p,5.4
4m7y,5.32
4m8t,6.43
4m8x,10.2
4man,11.0
4mao,7.33
4m8y,9.96
4mb9,8.0
4mbc,6.4
4m6q,8.21
4mbf,5.77
4l7o,4.88
4mbi,8.15
4mbl,8.54
4mbp,5.64
4mc1,7.85
4mc2,8.19
4mc6,9.59
4mc9,9.44
4mcd,5.33
4m6u,2.74
4mbj,7.21
4mcv,8.89
4mdn,6.22
4mcc,6.25
4mdq,5.92
4md6,7.77
4men,3.9
4mcb,5.82
4meo,3.6
4mdr,4.39
4meq,3.6
4mep,5.33
4mdt,5.0
4mg6,5.62
4mg7,6.36
4mg5,5.34
4mds,5.21
4mf0,8.08
4mf1,9.15
4mg8,6.48
4mg9,5.68
4mga,5.86
4mgc,6.32
4mgb,5.44
4mgv,7.12
4mgd,4.69
4mh7,5.23
4mha,8.28
4mhy,6.47
4mhz,6.87
4mfe,2.27
4lkg,6.8
4mib,9.7
4mho,5.08
4mhs,5.29
4mex,6.7
4mi3,4.12
4mjp,3.88
4mji,4.09
4mi6,4.31
4mi9,3.42
4mk1,4.8
4mk2,6.14
4mk5,6.35
4mjq,3.71
4mic,5.3
4mlt,2.85
4mk7,6.36
4mlx,3.19
4mjo,6.22
4mk8,9.0
4mk0,5.2
4mk9,8.05
4mm5,7.74
4mm4,6.37
4mka,9.0
4mm6,6.69
4mm7,3.63
4lpf,3.51
4mmm,3.82
4mma,6.04
4mm8,6.11
4mn3,5.75
4mm9,5.68
4mme,6.5
4mmp,7.71
4mnp,7.34
4mmf,6.53
4mnv,4.94
4mjr,3.55
4mnw,5.76
4mnx,4.75
4mny,5.71
4mot,7.3
4mo8,8.0
4mnq,4.43
4mp7,5.74
4mo4,4.22
4mpc,6.15
4mp2,5.45
4mq1,7.92
4mpe,6.37
4mr3,5.94
4mr4,5.94
4mq2,7.01
4mr5,6.6
4mr6,6.6
4mre,2.19
4mrf,1.95
4mrd,3.37
4mq6,6.47
4mpn,6.62
4mrg,2.96
4mrh,1.9
4mrz,3.52
4msa,3.3
4mqu,8.4
4mrw,3.3
4ms0,3.39
4msc,5.96
4msg,10.0
4mqp,4.98
4msk,7.2
4mro,7.06
4mse,6.16
4mti,8.92
4msn,4.03
4mra,4.47
4mss,6.4
4mt9,10.0
4mu7,8.85
4msl,6.15
4muv,5.76
4muf,6.34
4mul,6.21
4mue,6.7
4msu,5.85
4muk,6.6
4mvn,5.46
4muw,8.01
4mvh,8.35
4mvx,7.24
4mvy,7.54
4mw0,7.41
4mvw,7.55
4mw2,6.7
4mw1,7.72
4mw5,7.35
4mw6,5.78
4mw9,7.02
4mw4,6.5
4mw7,5.0
4mwb,6.49
4mwe,5.91
4mwq,9.1
4m6p,7.27
4mwr,9.39
4mx1,3.68
4mx5,4.55
4mwv,9.4
4mwc,5.87
4mww,3.67
4mwx,7.12
4mx9,8.59
4mxa,8.92
4my6,5.62
4mx0,6.73
4myd,4.55
4mxc,8.17
4mz5,6.1
4myq,7.49
4mzh,7.18
4mz4,7.89
4mzk,5.31
4mzj,5.8
4mzf,7.35
4mz6,5.02
4mzl,5.62
4myh,4.64
4mzo,6.57
4mzs,7.92
4n1t,9.1
4n1u,8.3
4n00,8.02
4n3r,6.82
4n3w,3.5
4mwu,8.49
4n4t,7.31
4n07,6.46
4n4s,6.88
4n5t,8.15
4n4v,8.7
4n1b,5.96
4mwy,7.05
4n5d,3.22
4n6h,9.28
4n6z,7.8
4n7h,5.48
4n1z,9.14
4n6y,7.04
4n6g,5.47
4n70,12.0
4n5g,5.0
4n7g,5.66
4n7u,6.29
4n7e,6.48
4n7j,5.47
4n7y,6.26
4n7m,5.47
4n84,6.29
4n8q,3.42
4n8r,5.0
4n98,3.55
4n99,3.67
4n9b,5.28
4n9a,4.19
4n8d,4.92
4na7,9.7
4n9c,3.9
4na8,8.82
4n8e,7.7
4na9,7.39
4na4,6.92
4n9d,7.72
4nak,5.85
4n9e,7.82
4nan,4.72
4nb3,7.66
4nal,5.66
4nb6,7.22
4nbk,3.87
4nbn,4.36
4ncm,7.0
4nbl,6.33
4nah,6.31
4ndu,2.74
4nat,6.48
4nct,7.55
4nau,9.06
4ncn,5.67
4ng9,7.12
4nga,7.77
4nh7,8.4
4ngh,7.52
4nh8,8.52
4ngn,7.55
4ngp,7.96
4ngm,10.35
4nh9,6.43
4ngs,8.12
4nhc,7.34
4ngq,8.8
4nhx,5.72
4nhy,5.64
4nie,7.7
4ncg,7.96
4nj3,6.52
4njd,4.84
4nj9,6.97
4nja,6.22
4ngr,7.55
4nks,7.17
4nk3,6.33
4nk9,8.51
4ngt,8.41
4nka,6.51
4nkt,5.97
4nmo,4.83
4nmp,4.04
4nmq,4.49
4nku,4.67
4nmr,3.53
4nms,4.94
4nmt,4.85
4nmv,4.95
4nni,5.5
4nnr,7.26
4nl1,3.89
4nld,7.7
4nmx,6.18
4np2,2.26
4non,5.24
4np3,3.3
4nnn,6.57
4no1,7.57
4np9,5.03
4nnw,6.61
4nra,4.19
4nq6,4.28
4npv,7.46
4nrb,4.42
4nrc,3.62
4no6,6.11
4no8,7.15
4nrm,3.2
4nro,5.02
4nrq,3.46
4nrp,4.59
4nuc,6.04
4no9,7.82
4ntj,7.36
4nrt,6.0
4nud,7.07
4nru,6.94
4nue,6.82
4nw2,4.54
4nus,8.3
4nrk,7.62
4nvq,8.48
4nuf,5.3
4nrl,8.62
4nw5,7.7
4nw6,8.4
4nwc,5.76
4nxq,4.74
4nwd,5.4
4nwk,8.7
4nxr,4.34
4nw7,6.63
4nvp,7.57
4ny3,4.31
4nxu,5.54
4nyf,7.31
4nxv,5.42
4nyj,3.49
4nxo,7.22
4nxs,7.37
4nym,3.55
4nzm,6.85
4nyi,3.06
4nzo,6.77
4nzn,6.38
4o04,6.16
4o07,7.38
4o05,7.43
4nyt,2.39
4o09,7.7
4o0b,8.3
4o0a,6.72
4o0j,4.89
4o0r,7.44
4nwm,8.1
4o0t,5.54
4o0v,8.48
4nzb,4.17
4o0x,7.17
4o0y,7.22
4o24,4.3
4o12,8.7
4o0z,7.24
4o13,7.82
4o10,7.11
4o15,8.7
4o1l,6.7
4o1b,6.41
4o2c,8.0
4o2e,8.0
4o2f,6.41
4o36,6.36
4o1d,7.62
4o2p,6.7
4o37,6.16
4o3a,2.59
4o3b,6.09
4o3c,2.59
4o28,7.54
4o42,4.66
4o3f,5.56
4o45,4.15
4o43,4.3
4o2a,5.74
4o3t,4.37
4o3u,6.4
4o4k,3.7
4o55,5.3
4o2b,5.74
4o61,4.3
4o4y,7.81
4o44,7.85
4o5b,8.3
4o4g,8.05
4o62,5.0
4o4r,6.06
4o70,4.72
4o71,4.74
4o6w,8.52
4o72,6.0
4o74,7.6
4o75,4.68
4o76,6.89
4o78,5.34
4o6e,9.0
4o5g,4.3
4o7a,4.72
4o7b,4.7
4o7c,5.0
4o77,5.6
4o7e,5.24
4o7f,4.89
4o97,8.52
4o9w,7.16
4o9s,6.55
4o9v,8.0
4o91,6.83
4o7d,3.0
4oaz,5.77
4oar,10.42
4oas,10.0
4oba,9.4
4oak,4.22
4ob0,5.3
4obo,7.11
4ob2,6.3
4obp,7.77
4ob1,6.3
4oag,6.3
4occ,8.7
4obz,5.72
4obq,7.19
4obv,0.75
4ock,5.08
4oc6,7.07
4oc0,6.5
4ocp,6.1
4oc2,8.28
4oc1,6.6
4oct,5.05
4ocq,4.61
4oc3,8.28
4od7,5.08
4ode,10.0
4ocx,11.44
4ocv,5.08
4odf,10.0
4odk,3.8
4od9,7.24
4odm,6.07
4odl,6.95
4odp,4.77
